         ps          /iirdf1_real_tb/dut/oIIR_TX    
          delta                                     
          0  +0 UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU 
   20910000  +1 00000000000000000000000000000000 
 4186910000  +1 00000000000000011000111010110101 
 4228570000  +1 00000000000001100010111111000011 
 4270230000  +1 00000000000011000011111001111001 
 4311890000  +1 00000000000100100010000110000111 
 4353550000  +1 00000000000101111101100110001101 
 4395210000  +1 00000000000111010110011100101001 
 4436870000  +1 00000000001000101100101011111010 
 4478530000  +1 00000000001010000000010110011111 
 4520190000  +1 00000000001011010001011110110111 
 4561850000  +1 00000000001100100000000111100000 
 4603510000  +1 00000000001101101100010010110111 
 4645170000  +1 00000000001110110110000011011001 
 4686830000  +1 00000000001111111101011011100010 
 4728490000  +1 00000000010001000010011101101111 
 4770150000  +1 00000000010010000101001100011011 
 4811810000  +1 00000000010011000101101010000000 
 4853470000  +1 00000000010100000011111000111001 
 4895130000  +1 00000000010100111111111011011111 
 4936790000  +1 00000000010101111001110100001010 
 4978450000  +1 00000000010110110001100101010001 
 5020110000  +1 00000000010111100111010001001100 
 5061770000  +1 00000000011000011010111010010000 
 5103430000  +1 00000000011001001100100010110010 
 5145090000  +1 00000000011001111100001101000110 
 5186750000  +1 00000000011010101001111011011111 
 5228410000  +1 00000000011011010101110000001111 
 5270070000  +1 00000000011011111111101101100111 
 5311730000  +1 00000000011100100111110101110111 
 5353390000  +1 00000000011101001110001011001110 
 5395050000  +1 00000000011101110010101111111001 
 5436710000  +1 00000000011110010101100110000101 
 5478370000  +1 00000000011110110110101111111110 
 5520030000  +1 00000000011111010110001111101101 
 5561690000  +1 00000000011111110100000111011011 
 5603350000  +1 00000000100000010000011001010000 
 5645010000  +1 00000000100000101011000111010011 
 5686670000  +1 00000000100001000100010011101001 
 5728330000  +1 00000000100001011100000000010110 
 5769990000  +1 00000000100001110010001111011100 
 5811650000  +1 00000000100010000111000010111101 
 5853310000  +1 00000000100010011010011100111001 
 5894970000  +1 00000000100010101100011111001111 
 5936630000  +1 00000000100010111101001011111100 
 5978290000  +1 00000000100011001100100100111101 
 6019950000  +1 00000000100011011010101100001100 
 6061610000  +1 00000000100011100111100011100010 
 6103270000  +1 00000000100011110011001100110111 
 6144930000  +1 00000000100011111101101010000010 
 6186590000  +1 00000000100100000110111100111001 
 6228250000  +1 00000000100100001111000111010000 
 6269910000  +1 00000000100100010110001010111000 
 6311570000  +1 00000000100100011100001001100011 
 6353230000  +1 00000000100100100001000101000000 
 6394890000  +1 00000000100100100100111110111101 
 6436550000  +1 00000000100100100111111001000111 
 6478210000  +1 00000000100100101001110101001001 
 6519870000  +1 00000000100100101010110100101101 
 6561530000  +1 00000000100100101010111001011100 
 6603190000  +1 00000000100100101010000100111100 
 6644850000  +1 00000000100100101000011000110011 
 6686510000  +1 00000000100100100101110110100101 
 6728170000  +1 00000000100100100010011111110101 
 6769830000  +1 00000000100100011110010110000101 
 6811490000  +1 00000000100100011001011010110100 
 6853150000  +1 00000000100100010011101111100000 
 6894810000  +1 00000000100100001101010101100111 
 6936470000  +1 00000000100100000110001110100100 
 6978130000  +1 00000000100011111110011011110010 
 7019790000  +1 00000000100011110101111110101001 
 7061450000  +1 00000000100011101100111000100001 
 7103110000  +1 00000000100011100011001010101111 
 7144770000  +1 00000000100011011000110110101000 
 7186430000  +1 00000000100011001101111101011111 
 7228090000  +1 00000000100011000010100000100110 
 7269750000  +1 00000000100010110110100001001101 
 7311410000  +1 00000000100010101010000000100100 
 7353070000  +1 00000000100010011100111111111001 
 7394730000  +1 00000000100010001111100000011001 
 7436390000  +1 00000000100010000001100011001110 
 7478050000  +1 00000000100001110011001001100010 
 7519710000  +1 00000000100001100100010100011101 
 7561370000  +1 00000000100001010101000101000111 
 7603030000  +1 00000000100001000101011100100101 
 7644690000  +1 00000000100000110101011011111100 
 7686350000  +1 00000000100000100101000100001111 
 7728010000  +1 00000000100000010100010110100000 
 7769670000  +1 00000000100000000011010011110000 
 7811330000  +1 00000000011111110001111100111110 
 7852990000  +1 00000000011111100000010011001000 
 7894650000  +1 00000000011111001110010111001011 
 7936310000  +1 00000000011110111100001010000011 
 7977970000  +1 00000000011110101001101100101010 
 8019630000  +1 00000000011110010110111111111001 
 8061290000  +1 00000000011110000100000100101000 
 8102950000  +1 00000000011101110000111011101111 
 8144610000  +1 00000000011101011101100110000011 
 8186270000  +1 00000000011101001010000100011001 
 8227930000  +1 00000000011100110110010111100100 
 8269590000  +1 00000000011100100010100000010110 
 8311250000  +1 00000000011100001110011111100000 
 8352910000  +1 00000000011011111010010101110010 
 8394570000  +1 00000000011011100110000011111011 
 8436230000  +1 00000000011011010001101010101001 
 8477890000  +1 00000000011010111101001010101001 
 8519550000  +1 00000000011010101000100100100110 
 8561210000  +1 00000000011010010011111001001011 
 8602870000  +1 00000000011001111111001001000010 
 8644530000  +1 00000000011001101010010100110011 
 8686190000  +1 00000000011001010101011101000110 
 8727850000  +1 00000000011001000000100010100001 
 8769510000  +1 00000000011000101011100101101010 
 8811170000  +1 00000000011000010110100111000110 
 8852830000  +1 00000000011000000001100111011001 
 8894490000  +1 00000000010111101100100111000110 
 8936150000  +1 00000000010111010111100110101110 
 8977810000  +1 00000000010111000010100110110010 
